,Title,Author,price
0,It Ends With Us: The most heartbreaking novel you'll ever read,Colleen Hoover,US$12.24
1,It Starts with Us,Colleen Hoover,US$23.11
2,It Starts with Us,Colleen Hoover,US$21.00
3,The Climate Book,Greta Thunberg,US$41.36
4,Rooms of Wonder,Johanna Basford,US$22.22
5,Verity,Colleen Hoover,US$11.03
6,Fire and Blood,George R.R. Martin,US$18.35
7,The Seven Moons of Maali Almeida,Shehan Karunatilaka,US$22.59
8,The Body Keeps the Score,Bessel Van Der Kolk,US$17.95
9,TommyInnit Says...The Quote Book,Tom Simons,US$16.47                                                     US$17.08                                        Save US$0.61
10,Universum : Målarbok,Maria Trolle,US$19.26
11,Atomic Habits,James Clear,US$21.19
12,Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,US$12.40
13,I'm Glad My Mom Died,Jennette McCurdy,US$25.55                                                     US$27.99                                        Save US$2.44
14,If We Were Villains - Illustrated edition,M.L. RIO,US$25.82
15,The Secret History,Donna Tartt,US$16.15
16,Before the Coffee Gets Cold,Toshikazu Kawaguchi,US$12.76
17,Cain's Jawbone,Ernest Powys Mathers,US$11.78                                                     US$12.95                                        Save US$1.17
18,Our Home on Wheels,Jessica and Stephen Parry-Valentine,US$19.61
19,Ugly Love,Colleen Hoover,US$11.99                                                     US$12.75                                        Save US$0.76
20,Harry Potter and the Order of the Phoenix,J.K. Rowling,US$39.91                                                     US$66.99                                        Save US$27.08
21,Marriage for One,Ella Maise,US$15.34
22,The Thursday Murder Club,Richard Osman,US$13.02
23,The Midnight Library,Matt Haig,US$11.76
24,Where the Crawdads Sing,Delia Owens,US$12.64
25,Twisted Love,Ana Huang,US$13.86
26,"Chainsaw Man, Vol. 1",Tatsuki Fujimoto,US$11.29
27,Spare,Prince Harry,US$31.90
28,The Perfect Loaf,Maurizio Leo,US$42.59
29,The Husky and His White Cat Shizun: Erha He Ta De Bai Mao Shizun (Novel) Vol. 1,Rou Bao Bu Chi Rou,US$19.61
